NEIGHBORHOOD,count,avg_price,median_price,avg_gross_sqft,avg_land_sqft,avg_units
MANHATTAN BEACH,43,1333146.558139535,1355000.0,2377.3023255813955,3584.6279069767443,1.3255813953488371
CONEY ISLAND,51,1329259.3137254901,518000.0,9041.980392156862,7782.78431372549,4.0588235294117645
FLUSHING-NORTH,797,1328472.747804266,925000.0,2831.99121706399,4028.485570890841,2.351317440401506
JAMAICA,106,1327100.433962264,697010.5,4508.490566037736,4034.169811320755,24.452830188679247
BAY RIDGE,268,1299216.0485074627,1116250.0,2763.5037313432836,2643.2350746268658,2.5111940298507465
BENSONHURST,270,1281369.9703703704,1140000.0,2911.222222222222,2678.2444444444445,2.6777777777777776
EAST ELMHURST,175,1278213.3714285714,690000.0,5680.194285714286,5724.457142857143,8.274285714285714
FOREST HILLS,173,1207382.3583815028,1045000.0,5723.664739884393,4594.052023121388,5.369942196531792
MORRISANIA/LONGWOOD,193,1199482.9274611399,500000.0,6872.538860103627,4325.59067357513,5.062176165803109
TODT HILL,29,1176783.1724137932,1125000.0,7995.241379310345,91784.0,1.0
BEDFORD PARK/NORWOOD,99,1144129.0303030303,527000.0,6998.363636363636,3467.3838383838383,5.434343434343434
ROSSVILLE-PORT MOBIL,2,1125000.0,1125000.0,3370.0,15583.5,1.0
BUSHWICK,351,1124528.9401709402,950000.0,3327.6524216524217,2213.5156695156697,3.2792022792022792
MADISON,147,1088151.448979592,837000.0,2252.265306122449,2668.156462585034,1.8231292517006803
BATH BEACH,106,1078775.066037736,992500.0,2543.3396226415093,2414.169811320755,2.3207547169811322
DYKER HEIGHTS,162,1071857.1172839506,1032127.0,2180.5864197530864,2337.2654320987654,1.9506172839506173
JAMAICA ESTATES,75,1067230.7733333334,995000.0,2099.266666666667,6211.626666666667,1.1733333333333333
DOUGLASTON,84,1054786.630952381,950000.0,3801.154761904762,8222.345238095239,3.0952380952380953
OAKLAND GARDENS,71,1042696.0422535212,860000.0,1989.4366197183099,4795.704225352113,1.380281690140845
GRAVESEND,241,1036942.7883817428,910000.0,7679.751037344398,20821.070539419088,2.4937759336099585
RIDGEWOOD,184,1032800.0923913043,990000.0,3168.157608695652,2468.6358695652175,3.266304347826087
KEW GARDENS,52,1020602.8076923077,857500.0,2232.730769230769,3560.7884615384614,1.6923076923076923
BEECHHURST,43,986461.1162790698,925000.0,1975.2325581395348,4739.139534883721,1.1627906976744187
BRONXDALE,173,979083.6589595376,426400.0,6889.526011560693,4392.0809248554915,6.676300578034682
BAYSIDE,437,961522.0068649886,860000.0,2250.096109839817,4632.407322654462,1.654462242562929
CASTLE HILL/UNIONPORT,115,959014.1217391305,476000.0,5463.24347826087,4240.139130434783,4.4
COLLEGE POINT,240,958813.2833333333,750000.0,2549.8875,3853.170833333333,1.7666666666666666
LITTLE NECK,96,949745.15625,877500.0,2030.5833333333333,4609.895833333333,1.4375
TRAVIS,56,947203.5714285715,432500.0,3889.285714285714,5449.428571428572,1.125
WOODLAWN,40,946729.05,505500.0,4292.15,3785.525,3.6
WHITESTONE,207,945714.4444444445,885000.0,1863.5942028985507,4006.613526570048,1.3478260869565217
BRIGHTON BEACH,55,940420.1090909091,630000.0,2513.909090909091,2593.6545454545453,2.727272727272727
EAST TREMONT,87,929048.7586206896,490000.0,5398.586206896552,3148.3793103448274,4.850574712643678
NEPONSIT,22,912020.9090909091,830625.0,2040.1818181818182,5252.181818181818,1.0
MASPETH,207,911663.7294685991,738000.0,2410.1787439613527,3317.9565217391305,1.8405797101449275
PARKCHESTER,65,907436.9692307692,506493.0,4339.8,3684.9538461538464,3.3692307692307693
MILL BASIN,85,893511.4823529412,860000.0,2297.929411764706,3986.4117647058824,1.2823529411764707
BELLE HARBOR,67,891374.4029850747,852000.0,2155.7014925373132,4551.059701492537,1.4029850746268657
CORONA,277,884032.321299639,875712.0,2367.9205776173285,2419.202166064982,2.67870036101083
HOLLIS HILLS,28,879067.8571428572,865000.0,1713.107142857143,5171.892857142857,1.0
BRIARWOOD,39,874423.0769230769,772000.0,2132.6153846153848,3587.923076923077,1.8205128205128205
RICHMONDTOWN-LIGHTHS HILL,8,862599.875,812500.0,2547.75,9736.875,1.0
OCEAN HILL,204,862452.818627451,810000.0,3366.8382352941176,2259.25,3.25
BATHGATE,41,858711.0731707317,460000.0,4771.951219512195,2976.243902439024,3.951219512195122
SCHUYLERVILLE/PELHAM BAY,157,856932.2101910828,485000.0,3196.452229299363,3419.394904458599,2.9936305732484074
FRESH MEADOWS,79,854220.3164556962,882000.0,1690.0379746835442,3852.2911392405063,1.139240506329114
EMERSON HILL,12,850750.0,912500.0,2160.0833333333335,9854.75,1.25
MIDDLE VILLAGE,261,822893.264367816,735000.0,1863.8505747126437,2430.2260536398467,1.628352490421456
DONGAN HILLS-COLONY,40,817119.275,785200.0,2111.025,6261.25,1.275
SOUNDVIEW,274,806592.2226277372,455000.0,6842.912408759124,5291.748175182482,6.583941605839416
FLATBUSH-NORTH,192,795983.1354166666,600000.0,2949.0052083333335,2491.2760416666665,2.9166666666666665
FLUSHING-SOUTH,312,786631.092948718,785000.0,1777.3461538461538,3162.13141025641,1.4615384615384615
CROTONA PARK,38,775841.947368421,465458.0,3996.2368421052633,4513.894736842105,2.9210526315789473
HOLLIS,308,770076.5389610389,453500.0,2672.133116883117,4016.6233766233768,1.8863636363636365
SEAGATE,41,755164.6341463415,670844.0,2722.170731707317,4621.463414634146,1.975609756097561
CITY ISLAND-PELHAM STRIP,1,736000.0,736000.0,1420.0,2940.0,1.0
GLENDALE,211,734588.0758293839,695000.0,2016.0,2427.004739336493,1.853080568720379
PELHAM PARKWAY SOUTH,34,732091.5882352941,579500.0,2549.735294117647,3424.6176470588234,1.9411764705882353
PLEASANT PLAINS,42,730014.8571428572,643750.0,2373.404761904762,7302.380952380952,1.2619047619047619
PRINCES BAY,99,699181.5151515151,635000.0,2484.848484848485,5954.666666666667,1.4848484848484849
AIRPORT LA GUARDIA,5,687502.0,792000.0,1894.4,2125.2,2.4
WESTCHESTER,85,687417.905882353,489250.0,4090.8823529411766,4168.035294117647,2.835294117647059
TOTTENVILLE,171,678768.3976608188,600000.0,2117.6432748538014,4661.795321637427,1.4385964912280702
RICHMONDTOWN,60,670305.4,643000.0,1887.8333333333333,6260.25,1.05
JAMAICA HILLS,57,669595.4385964912,680000.0,1982.1052631578948,3389.315789473684,1.736842105263158
WOODROW,94,667377.914893617,549000.0,2637.2659574468084,6268.776595744681,1.4148936170212767
